county,town,village,postcode
Wiltshire,Salisbury,Winterbourne Earls,SP4
Wiltshire,Salisbury,Winterbourne Gunner,SP4
Wiltshire,Salisbury,Alderbury,SP5
Wiltshire,Salisbury,Barford St Martin,SP5
Wiltshire,Salisbury,Bishopstone,SP5
Wiltshire,Salisbury,Bowerchalke,SP5
Wiltshire,Salisbury,Broad Chalke,SP5
Wiltshire,Salisbury,Charlton All Saints,SP5
Wiltshire,Salisbury,Coombe Bissett,SP5
Wiltshire,Salisbury,Dean Land,SP5
Wiltshire,Salisbury,Downton,SP5
Wiltshire,Salisbury,East Dean,SP5
Wiltshire,Salisbury,East Grimstead,SP5
Wiltshire,Salisbury,East Tytherely,SP5
Wiltshire,Salisbury,Ebbesbourne Wake,SP5
Wiltshire,Salisbury,Ebble,SP5
Wiltshire,Salisbury,Farley,SP5
Wiltshire,Salisbury,Firsdown,SP5
Wiltshire,Salisbury,Hampworth,SP5
Wiltshire,Salisbury,Homington,SP5
Wiltshire,Salisbury,Landford,SP5
Wiltshire,Salisbury,Lanford Wood,SP5
Wiltshire,Salisbury,Lover,SP5
Wiltshire,Salisbury,Mead End,SP5
Wiltshire,Salisbury,Middle Winterslow,SP5
Wiltshire,Salisbury,Newtown,SP5
Wiltshire,Salisbury,Nunton,SP5
Wiltshire,Salisbury,Odstock,SP5
Wiltshire,Salisbury,Pitton,SP5
Wiltshire,Salisbury,Plaitford Green,SP5
Wiltshire,Salisbury,Redlynch,SP5
Wiltshire,Salisbury,Ridge,SP5
Wiltshire,Salisbury,West Dean,SP5
Wiltshire,Salisbury,West Grimstead,SP5
Wiltshire,Salisbury,West Tytherely,SP5
Wiltshire,Salisbury,West Winterslow,SP5
Wiltshire,Salisbury,Whiteparish,SP5
Wiltshire,Salisbury,Witherington,SP5
Wiltshire,Salisbury,Woodminton,SP5
Wiltshire,Salisbury,Breamore,SP6
Wiltshire,Salisbury,Whitsbury,SP6
